2475 2384 159
108 1141 1828
2880 1027 2206
1041 1739 2653
2143 2644 1823
1768 2666 1906
1857 2570 2149
2695 354 1810
627 629 2506
211 2610 1572
1082 774 2728
2422 1012 2681
1526 1354 605
1798 876 554
472 141 1489
719 548 801
822 1050 2548
2140 2939 964
1754 818 1912
1218 2780 2606
1988 1789 2505
312 1908 1023
980 195 1859
1095 1661 1714
1160 149 304
1799 1155 2628
2140 1010 1822
798 2793 2453
427 2529 857
2768 2080 2657
2475 2349 261
5 2265 1627
2504 944 2356
2223 986 45
1608 1522 1911
1871 1655 2724
2888 1838 865
160 1112 883
259 946 94
288 506 637
2290 905 1976
2776 502 1029
388 2647 748
2774 1211 2214
2645 2567 2827
111 162 303
1645 1865 85
2318 2585 2980
933 816 2234
753 69 2862
1869 727 396
1308 1791 2334
2096 1982 1949
928 1605 2015
1799 936 871
331 978 1531
2231 2669 861
2948 1537 2745
1568 2110 1814
1098 855 1866
1785 2333 875
325 1050 2418
1220 892 1043
2566 284 1867
1052 1692 2330
1411 2773 125
455 2511 1823
789 1712 1915
787 683 1912
1123 1405 2
2844 2024 2621
1848 285 66
1306 38 903
904 2242 1796
799 1458 1902
1525 744 2061
2402 2700 882
645 2738 2660
679 1639 1292
835 1556 2150
109 381 387
1560 985 2220
2174 1961 1554
2875 2890 832
1324 818 1956
2526 2177 2827
1539 10 1529
2178 2569 532
1232 1360 2466
2715 2813 1856
2894 483 515
1781 537 1219
2995 1658 896
2329 239 2461
156 1423 1942
1941 1554 446
2230 1212 1408
2986 2984 227
2304 970 139
1322 2923 2042
371 642 1376
1512 2585 759
2779 1519 515
418 1172 2064
1075 2838 12
2056 2669 1768
2283 240 1395
815 1421 2980
1166 2670 414
1248 603 278
423 412 90
1119 1091 1593
283 574 852
2542 2366 859
1341 2533 484
861 852 1317
807 2023 2781
2379 141 279
600 1676 1587
2247 1635 2261
103 1115 1404
641 2504 1998
1985 2756 1599
800 1160 1852
808 593 719
1391 1883 1154
2132 2448 1013
2048 2308 716
54 1356 2045
2976 1606 1662
1022 2777 616
241 2426 2279
448 861 2279
1920 2843 1841
20 2586 1367
2956 717 1250
1906 1846 2243
615 2996 597
1158 1892 1521
479 1834 2671
780 2671 1311
690 412 20
2976 1128 722
1003 341 2654
2805 2941 732
972 1106 719
643 2863 2586
2345 2679 1492
1128 1792 1448
2888 80 1375
366 2386 588
270 1783 835
1599 1620 2425
819 1004 2231
2128 1258 178
1006 1312 58
1872 998 1205
285 934 1525
311 1787 2686
26 2025 299
713 2899 2807
2920 507 2943
188 2665 615
2459 866 1044
1919 2144 2868
2882 2548 2043
1116 2901 163
2152 314 1338
461 2528 1717
985 175 2331
50 2415 389
2258 2798 2015
1756 2558 2526
568 1996 396
742 2830 2988
2704 2762 2535
627 514 1595
207 342 92
1082 254 661
1336 1671 2046
2147 2311 1609
1588 1238 2825
1648 2098 2094
635 2259 2066
716 2388 602
2369 2227 34
1173 2847 360
902 114 2853
2317 894 1331
1709 1751 1554
1792 1646 1215
1718 2666 1064
219 1063 335
2016 2516 2589
104 103 275
61 916 1679
759 1120 1480
802 2303 2135
2490 1505 1799
59 2823 2831
2996 1012 1456
733 762 1772
2467 2618 292
1773 1042 1158
2593 42 2787
2170 1495 312
2138 1046 1954
2091 2174 2331
2074 820 1254
2296 2123 703
964 2241 909
558 90 2660
727 770 382
2099 2779 2560
190 479 752
2153 2835 2752
269 2205 402
2725 970 2760
68 399 1350
2532 1309 2093
1159 2687 710
1423 1726 1610
2735 2425 2680
885 2495 56
313 2241 1041
1453 1853 822
2666 557 2896
2153 393 1973
653 2744 2350
27 1562 349
811 2488 1643
1929 1694 2917
1065 861 1583
1839 1343 1647
2672 2374 1449
821 1344 2258
1237 737 1601
1417 620 152
590 2894 521
143 128 1510
1166 1125 2882
2506 88 2437
532 2755 1243
1283 2767 2523
1033 2932 2517
1868 1030 1561
544 2001 75
2248 820 1179
2950 1506 443
2806 290 2419
1413 2286 1063
2226 1802 972
85 334 2627
1325 2860 2687
964 2345 898
909 1385 1836
1629 2231 1183
433 401 421
1989 1566 2485
1883 2255 10
1846 214 2688
1003 2840 2089
132 2260 2104
2017 2785 2648
1315 2090 780
140 1899 1522
1079 1846 1122
77 1831 2070
1695 986 1854
1694 2225 2257
1982 1129 1196
1322 443 1486
704 2510 1865
1749 2722 2590
1858 1405 110
435 2624 1791
2311 1153 750
2914 171 2638
2 1818 727
2831 2902 1495
1837 2056 1556
1675 1498 474
1642 826 1788
2347 1053 77
1912 645 1767
1300 2487 399
1262 1751 2958
1974 1448 2433
423 2528 1947
2898 1576 1000
583 2753 74
1659 2153 1628
157 408 1255
1643 2374 2973
710 1092 966
753 1882 2044
1045 1927 585
505 66 1050
2343 614 653
1333 2701 1898
